Transaction Date,Type,Description,Category,Amount (USD)
01/05/2025,Sale,ANTHROPIC PBC,Subscriptions,20.0
01/12/2025,Sale,BLUE BOTTLE COFFEE,Restaurants,6.5
01/28/2025,Sale,UBER TRIP,Transportation,25.4
02/15/2025,Sale,UNITED AIRLINES,Travel,389.0
02/16/2025,Sale,HYATT RESORTS,Travel,425.0
03/01/2025,Fee,ANNUAL MEMBERSHIP FEE,Fees,95.0
03/15/2025,Sale,NETFLIX.COM,Subscriptions,24.99
04/02/2025,Sale,WHOLE FOODS MARKET,Groceries,95.0
04/15/2025,Payment,AUTOMATIC PAYMENT - THANK YOU,,-2200.0
05/10/2025,Sale,CHEVRON,Gas,58.0
06/15/2025,Sale,TARGET,Shopping,87.5
07/13/2025,Sale,PAYPAL *TF TRAINING,Online,450.0
08/13/2025,Credit,TRAVEL CREDIT $300/YEAR,,-150.0
09/01/2025,Sale,SPOTIFY,Subscriptions,11.99
10/05/2025,Sale,REGAL CINEMAS,Entertainment,45.0
10/15/2025,Sale,JIFFY LUBE,Auto,89.0
11/04/2025,Sale,CVS PHARMACY,Health,35.0
12/01/2025,Payment,PAYPAL *TF TRAINING REFUND,Online,-450.0
12/15/2025,Sale,COSTCO WHSE,Shopping,425.0
